IAU,Instrument,FOS_Name,STIS_Name,COS_Name,HST_Opt,Inst_final,S2N_coadd,z,Hbeta,F1550,FCIVNC,DelVR,FCIVBC,c1_4,c1_2,c3_4,c0_9,CIV,AI,Kurt,_RA,_DE,SDSS Spectra,SDSS_NAME,RA,DEC,PLATE,MJD,FIBERID,Separation
J10518-0051,COS+FOS,PG1049-005,None,None,,FOS,24,0.3591,5610,1.44,0.36,-208,14.7,68,-453,-418,-407,4563,0.11,0.35,162.964335,-0.854926111111111,yes,105151.44-005117.6,162.964345,-0.854905,276,51909,251,0.08409346874113430
J11042+7658,FOS+STIS,PG1100+772,None,None,,FOS,37,0.3116,8242,1.32,1.12,-33,17.0,211,3,80,42,7560,0.02,0.31,166.057823888889,76.982825,no,,,,,,,
J11171+4413,FOS,PG1114+445,None,None,,FOS,53,0.1433,5402,0.56,,0,4.6,233,351,299,291,3797,-0.01,0.29,169.276635555556,44.2259125,yes,111706.39+441333.3,169.276655,44.225919,1365,53062,378,0.05535117339941050
J11185+4025,FOS,PG1115+407,None,None,,FOS,26,0.1536,2295,1.49,,0,6.8,-735,-383,-297,-277,3989,-0.11,0.31,169.626248888889,40.4317002777778,yes,111830.28+402554.0,169.626185,40.43167,1440,53084,204,0.20623039798285100
J11191+2119,FOS,PG1116+215,None,None,,FOS,77,0.1765,3218,5.14,0.93,-379,32.1,-822,-700,-651,-664,4842,-0.03,0.32,169.786118333333,21.3216558333333,yes,111908.67+211917.9,169.78616181596200,21.321649434443100,6430,56299,516,0.1476313958197820
J11246+4201,COS+FOS,PG1121+422,None,None,,FOS,17,0.2253,2834,1.52,0.25,-166,8.9,-195,-166,-225,-247,2327,0.03,0.34,171.163228055556,42.0291780555556,yes,112439.18+420145.0,171.163263,42.029172,1443,53055,358,0.09595394730359990
J12142+1403,FOS+STIS,PG1211+143,None,None,,FOS,71,0.0811,1989,3.06,2.72,-101,22.8,-249,-89,-56,-41,3108,-0.09,0.43,183.573614166667,14.0536536111111,yes,,,,,,,
J12193+0638,COS+FOS,PG1216+069,None,None,,FOS,25,0.3322,7072,1.79,1.5,72,16.9,-342,279,200,172,4829,-0.09,0.25,184.837216666667,6.64402111111111,no,,,,,,,
J13055-1033,FOS,PG1302-102,None,None,,FOS,52,0.2783,3959,3.87,0.24,-360,8.1,-262,215,-71,-488,5484,0.05,0.35,196.3875625,-10.5553963888889,no,,,,,,,
J13097+0819,FOS,PG1307+085,None,None,,FOS,12,0.1546,5616,1.4,0.3,607,13.6,-8,312,434,422,4413,-0.11,0.32,197.445841666667,8.33006111111111,yes,130947.00+081948.2,197.445838,8.330063,1795,54507,457,0.014724908473173600
J13238+6541,FOS,PG1322+659,None,None,FOS,FOS,29,0.1674,3114,1.2,0.41,-35,7.9,-436,-310,-237,-185,3617,-0.09,0.4,200.9561975,65.6967272222222,yes,,,,,,,
J13545+1805,FOS,PG1352+183,None,None,,FOS,24,0.1508,4947,1.27,0.46,-79,10.2,-773,-372,-337,-375,5435,-0.08,0.3,208.648704166667,18.0881888888889,yes,135435.68+180517.4,208.648704,18.08819,2756,54508,228,0.004040457581388290
J14063+2223,FOS,PG1404+226,None,None,,FOS,15,0.0973,956,0.62,,0,2.5,-1571,-1537,-1515,-1508,3910,-0.02,0.34,211.591168888889,22.3962813888889,yes,140621.89+222346.5,211.591214,22.396261,2784,54529,10,0.16713070755065400
J14170+4456,FOS,PG1415+451,None,None,,FOS,54,0.1151,2691,1.21,0.0,0,8.3,-1148,-771,-644,-576,3822,-0.17,0.35,214.253441944444,44.935095,yes,141700.82+445606.3,214.253452,44.935109,1287,52728,296,0.05654082039964080
J15477+2052,FOS,PG1545+210,None,None,,FOS,6.9*,0.2659,7670,0.99,0.8,-371,17.4,-26,-78,-138,-161,6643,0.02,0.29,236.931406666667,20.8712808333333,yes,154743.53+205216.6,236.931414,20.871293,2168,53886,484,0.05026863938874060
J11534+4931,FOS,SBS1150+497,None,None,,FOS,12,0.3336,4303,0.55,0.18,343,8.5,978,536,427,424,4972,0.12,0.34,178.351944444444,49.5191194444444,yes,115324.46+493108.7,178.35194355276700,49.5191007369498,6677,56385,646,0.06737921482065310
J12524+5634,FOS,SBS1250+568,None,None,,FOS,19,0.32,4810,0.29,0.09,66,3.4,94,20,-13,-18,3525,0.03,0.31,193.109810833333,56.5721305555555,yes,125226.35+563419.6,193.109792,56.572134,1317,52765,20,0.039354687750020700
J13012+5902,COS+FOS+STIS,SBS1259+593,None,None,,FOS,25,0.4776,3569,2.4,0.0,0,4.8,-5239,-4325,-3795,-3648,7623,-0.27,0.37,195.303818888889,59.0351897222222,yes,130112.91+590206.6,195.303822,59.035185,957,52398,20,0.017950118157489100
J01399+0131,FOS,UM355,None,None,,FOS,5.8*,0.26,11245,0.13,0.0,0,3.3,1261,1930,214,269,8327,0.15,0.2,24.9888416666667,1.52949166666667,no,,,,,,,
J13532+6345,STIS,None,PG1351+640,None,,STIS,19,0.0882,5876,2.32,,0,15.3,78,-126,-175,-196,3660,0.09,0.39,208.31598,63.7626944444444,yes,,,,,,,
J17046+6044,FOS+STIS,SBS1704+608,SBS1704+608,None,,FOS,22,0.372,9224,2.0,,0,15.7,942,-200,-465,-503,4697,0.21,0.19,256.172371666667,60.7418138888889,yes,170441.38+604430.5,256.172426,60.741806,353,51703,377,0.09972799492355420
J00573-2222,STIS,None,TONS180,None,,STIS,26,0.062,1131,4.01,1.32,-273,13.8,-1232,-801,-588,-563,3973,-0.21,0.35,14.3341738888889,-22.3823444444444,yes,,,,,,,
J22426+2943,FOS+STIS,UGC12163,UGC12163,None,STIS,FOS,108*,0.0245,1300,1.16,,0,2.5,5,-61,-78,-81,1664,0.06,0.36,340.6637875,29.7254305555556,yes,,,,,,,
